StoryID,CompanyID,ProjectID,StoryText,WordCount,CreationDate,Domain,CompanySize,AgileExperience,TeamSize,HasAmbiguity,AmbiguityCount,SemanticAmbiguity,ScopeAmbiguity,ActorAmbiguity,AcceptanceAmbiguity,DependencyAmbiguity,PriorityAmbiguity,TechnicalAmbiguity,DefectCount,DevelopmentTime,StoryPoints,CustomerSatisfaction,CompletionStatus
US-C1-001,C1,P1,"As a loan officer, I want to process application in order to comply with regulations",55,2023-04-07,Finance,Large,7,8,True,1,1,0,0,0,0,0,0,1,7,13,3.2,Done
US-C1-003,C1,P1,"As a user, I would like to view account balance to comply with regulations with detailed specifications and comprehensive requirements",61,2023-04-07,Finance,Large,7,7,True,1,0,0,1,0,0,0,0,2,8,1,3.4,Done
US-C1-004,C1,P1,"As a financial advisor, I want to access system so that I can comply with regulations",48,2023-04-08,Finance,Large,7,8,True,1,1,0,0,0,0,0,0,2,6,8,3.8,Done
US-C1-006,C1,P1,"As a investor, I want to handle finances in order to meet financial goals",42,2023-04-08,Finance,Large,7,6,True,1,1,0,0,0,0,0,0,3,6,3,3.8,Done
US-C1-007,C1,P1,"As a user, I would like to handle finances to meet financial goals",43,2023-04-09,Finance,Large,7,8,True,3,1,1,1,0,0,0,0,4,7,5,3.4,Done
US-C1-008,C1,P1,"As a loan officer, I want to process application so that I can comply with regulations",48,2023-04-09,Finance,Large,7,5,True,1,1,0,0,0,0,0,0,2,6,5,3.4,Done
US-C1-009,C1,P1,"As a customer, I need to access system so that I can comply with regulations with detailed specifications and comprehensive requirements",66,2023-04-09,Finance,Large,7,6,True,1,0,1,0,0,0,0,0,0,7,5,4.2,Done
US-C1-011,C1,P1,"As a account holder, I want to handle finances in order to comply with regulations",55,2023-04-10,Finance,Large,7,6,True,2,1,1,0,0,0,0,0,3,5,5,3.6,Done
US-C1-012,C1,P1,"As a loan officer, I would like to manage account to save time",36,2023-04-10,Finance,Large,7,4,True,1,1,0,0,0,0,0,0,1,5,13,3.9,Done
US-C1-013,C1,P1,"As a customer, I want to handle finances so I can track spending",27,2023-04-11,Finance,Large,7,6,True,1,1,0,0,0,0,0,0,3,8,13,3.5,Done
US-C1-014,C1,P1,"As a loan officer, I need to process application so that I can save time with detailed specifications and comprehensive requirements",64,2023-04-11,Finance,Large,7,6,True,1,1,0,0,0,0,0,0,2,6,1,3.3,Cancelled
US-C1-015,C1,P1,"As a financial advisor, I would like to apply for loan to save time",45,2023-04-11,Finance,Large,7,8,True,1,0,0,0,1,0,0,0,4,5,2,3.6,Done
US-C1-016,C1,P1,"As a financial advisor, I need to handle finances so I can meet financial goals",26,2023-04-12,Finance,Large,7,5,True,1,1,0,0,0,0,0,0,2,7,2,4.2,In Progress
US-C1-017,C1,P1,"As a user, I need to update information so that I can track spending with detailed specifications and comprehensive requirements",57,2023-04-12,Finance,Large,7,9,True,2,0,1,1,0,0,0,0,0,5,2,3.4,In Progress
US-C1-018,C1,P1,"As a customer, I would like to handle finances to track spending",44,2023-04-12,Finance,Large,7,7,True,1,1,0,0,0,0,0,0,0,3,13,3.5,Cancelled
US-C1-020,C1,P1,"As a customer, I would like to handle finances to comply with regulations",51,2023-04-13,Finance,Large,7,7,True,1,1,0,0,0,0,0,0,1,8,2,3.6,Done
US-C1-021,C1,P1,"As a user, I want to process application so that I can comply with regulations",53,2023-04-13,Finance,Large,7,7,True,2,0,1,1,0,0,0,0,2,7,3,3.7,Done
US-C1-024,C1,P1,"As a account holder, I would like to manage account to track spending",55,2023-04-14,Finance,Large,7,8,True,1,1,0,0,0,0,0,0,0,9,8,4.0,Cancelled
US-C1-027,C1,P1,"As a bank customer, I want to download statements so that I can track spending",39,2023-04-15,Finance,Large,7,6,True,1,0,0,0,0,1,0,0,1,5,13,4.0,Done
US-C1-028,C1,P1,"As a loan officer, I would like to process application to comply with regulations",53,2023-04-16,Finance,Large,7,6,True,1,1,0,0,0,0,0,0,0,8,1,4.0,Cancelled
US-C1-029,C1,P1,"As a customer, I need to update information so that I can comply with regulations",47,2023-04-16,Finance,Large,7,4,True,1,1,0,0,0,0,0,0,3,6,1,4.2,Done
US-C1-030,C1,P1,"As a customer, I would like to process application to meet financial goals with detailed specifications and comprehensive requirements",58,2023-04-16,Finance,Large,7,8,True,1,1,0,0,0,0,0,0,1,5,2,4.3,Done
US-C1-031,C1,P1,"As a user, I need to update information so I can meet financial goals",34,2023-04-17,Finance,Large,7,6,True,2,1,0,1,0,0,0,0,3,7,5,3.4,Done
US-C1-032,C1,P1,"As a user, I want to manage account so I can improve security",27,2023-04-17,Finance,Large,7,8,True,2,1,0,1,0,0,0,0,2,3,8,4.1,Done
US-C1-033,C1,P1,"As a financial advisor, I want to process application in order to improve security",31,2023-04-17,Finance,Large,7,6,True,1,1,0,0,0,0,0,0,0,7,2,3.6,Done
US-C1-034,C1,P1,"As a loan officer, I want to manage account so that I can track spending",47,2023-04-18,Finance,Large,7,7,True,2,1,1,0,0,0,0,0,0,10,5,3.9,Done
US-C1-035,C1,P1,"As a financial advisor, I would like to handle finances to save time",44,2023-04-18,Finance,Large,7,6,True,2,1,1,0,0,0,0,0,2,5,13,3.2,Done
US-C1-036,C1,P1,"As a financial advisor, I need to manage account so that I can improve security",38,2023-04-18,Finance,Large,7,4,True,1,1,0,0,0,0,0,0,1,3,13,3.9,Done
US-C1-037,C1,P1,"As a loan officer, I need to handle finances so that I can improve security",47,2023-04-19,Finance,Large,7,8,True,1,1,0,0,0,0,0,0,1,6,8,3.7,Done
US-C1-038,C1,P1,"As a account holder, I would like to access system to meet financial goals",38,2023-04-19,Finance,Large,7,9,True,1,1,0,0,0,0,0,0,2,6,5,4.1,Done
US-C1-040,C1,P1,"As a customer, I want to transfer funds in order to save time",35,2023-04-20,Finance,Large,7,6,True,1,0,0,0,1,0,0,0,1,5,13,3.8,Cancelled
US-C1-041,C1,P1,"As a loan officer, I want to manage account so that I can improve security with detailed specifications and comprehensive requirements",63,2023-04-20,Finance,Large,7,9,True,1,1,0,0,0,0,0,0,1,8,3,3.6,Done
US-C1-042,C1,P1,"As a loan officer, I would like to access system to improve security",38,2023-04-20,Finance,Large,7,9,True,1,1,0,0,0,0,0,0,0,9,13,3.1,Cancelled
